folio,nro,Real,Prediccion_RF,Probabilidad_RF,Prediccion_LR,Probabilidad_LR
523-003144-A-0131,3.0,1,1,0.6882360710753681,0,0.35338794193095174
421-003729-A-0121,3.0,1,1,0.9608942168481136,1,0.6426089541167866
732-019017-A-0081,4.0,1,1,0.7990749468557679,0,0.4970083686087925
313-002228-A-0091,3.0,1,0,0.20950973897800382,1,0.566411172980375
414-002893-A-0111,3.0,1,1,0.972226655443441,1,0.746997233499508
113-001085-A-0191,3.0,1,1,0.9980432045533136,1,0.948329810373932
244-021195-A-0151,4.0,1,1,0.9764976744187731,1,0.7449667310339151
213-002057-A-0231,3.0,1,1,0.7762292495871091,0,0.383736585458205
263-014456-A-0081,3.0,1,1,0.994807768007586,1,0.8594269710248885
312-001156-A-0811,2.0,1,1,0.6772013867761735,1,0.5842728298827266
712-003415-A-0291,4.0,1,1,0.9421246423959997,1,0.6545314108844551
221-018596-A-0191,2.0,1,1,0.6688863828431438,0,0.4401045690502453
714-010525-A-0361,4.0,1,1,0.9934763575455969,1,0.7958240993916831
723-015885-A-0191,4.0,1,1,0.9244460496805804,0,0.4776449574401322
344-016866-D-0181,2.0,1,1,0.7338578306500355,1,0.5620937389059142
221-018596-A-0221,3.0,1,1,0.8986492742874463,1,0.9602996018111436
943-000628-A-0071,5.0,1,1,0.8302598787737416,1,0.8070958455688971
114-002021-A-0111,3.0,1,1,0.9257132077351689,1,0.6278298034494862
221-018596-A-0011,6.0,1,1,0.9606681498361731,1,0.7634112155096794
251-029564-D-0081,7.0,1,1,0.9833412778916821,1,0.9346839555449484
544-005058-A-0021,4.0,1,1,0.8927423336102894,1,0.6507057724171272
324-010789-A-0051,4.0,1,1,0.9855501021954312,1,0.9559641780235227
351-017751-D-0111,3.0,1,1,0.9707883753106847,1,0.932222948869624
951-000942-D-0031,3.0,1,0,0.40963150638622453,0,0.17952294024887733
413-001577-A-0021,3.0,1,1,0.9358892280414801,1,0.9280988814091214
713-007420-A-0581,3.0,1,1,0.9799138700213077,1,0.7974345216093408
343-013265-A-0071,6.0,1,1,0.7527128458302585,1,0.9363032356978355
412-000440-A-0041,4.0,1,1,0.990930169189975,1,0.9313861969241877
743-022135-D-0301,4.0,1,0,0.2692865712004824,0,0.05887488744389743
721-018021-A-0121,5.0,1,1,0.8347515147636293,1,0.8622851202230539
333-006799-A-0121,6.0,1,1,0.7871950528320842,0,0.4714967874804611
214-005116-A-0241,4.0,1,0,0.24582644585368124,1,0.5259400790371164
852-003590-D-0071,4.0,1,1,0.6654464374495316,0,0.38154345261832173
144-003176-A-0271,2.0,1,1,0.7230330538554094,0,0.37431879257463524
314-006449-A-0061,4.0,0,0,0.3752726966015843,0,0.165688181676499
423-004063-A-0301,2.0,1,1,0.5266795079620823,0,0.43345835672356564
112-000438-A-0011,7.0,1,1,0.9794291810671376,1,0.7881472158225805
263-014976-A-0221,3.0,1,1,0.9785726587391215,1,0.9230495815956599
441-006550-D-0101,4.0,1,1,0.782299657009527,0,0.3295379353394858
913-000358-A-0081,4.0,1,1,0.7852972159088737,1,0.6195400504534901
552-007239-D-0041,5.0,1,1,0.9858256998949666,1,0.7534176216013536
214-005596-A-0111,4.0,1,1,0.9556412860306852,1,0.7691789593472382
833-002626-A-0101,3.0,1,1,0.7438730142811643,0,0.3301338195688398
722-012849-A-0261,3.0,1,1,0.8442697965495476,1,0.5042989684535181
953-001042-D-0021,4.0,1,1,0.919667167771628,1,0.6203671214668633
262-009000-A-0011,4.0,1,1,0.5247397800999783,0,0.37399378391115395
262-011135-A-0211,4.0,1,1,0.747885433065901,0,0.4912603009479189
324-007681-A-0161,3.0,1,1,0.9992774403827267,1,0.9478487538144607
213-003299-A-0021,3.0,1,1,0.8184819042932978,1,0.9757936272138412
422-003968-A-0101,3.0,1,1,0.8029676310767572,1,0.5889208745955636
262-012586-A-0171,3.0,1,1,0.9540054959740005,1,0.6261599463281285
314-004640-A-0131,3.0,1,1,0.9995564527824669,1,0.9230284699414625
212-001085-A-0041,4.0,1,1,0.9311404934335813,1,0.8145692328019871
212-000589-A-0041,4.0,1,1,0.9940493740489941,1,0.968114118701966
251-028611-D-0261,4.0,1,1,0.7483785725231616,0,0.29046366360465087
713-004442-A-0061,3.0,1,1,0.8488333202823587,1,0.9176931141621851
824-001767-A-0021,2.0,1,1,0.8817559961681756,1,0.5606016526110256
412-000947-A-0071,4.0,0,1,0.5918331665148704,0,0.3785659047625555
714-009039-A-0181,4.0,1,1,0.9564452771197498,1,0.8539695838746848
323-012177-A-0041,5.0,1,1,0.679875788532671,1,0.577934069518859
222-018944-A-0031,4.0,1,1,0.988169503211946,1,0.913546770471767
341-014869-D-0141,3.0,1,1,0.6026888376045026,0,0.43598942936676993
953-000688-D-0171,3.0,1,1,0.5504733057232356,0,0.16964596083812541
312-000984-A-0161,3.0,1,1,0.9720675128617512,1,0.6989076155306906
314-004640-A-0071,4.0,1,1,0.9936740117723696,1,0.8943573760577276
212-000973-A-0071,4.0,1,1,0.9660132386282002,1,0.9095145525779782
212-000589-A-0031,3.0,1,1,0.868468933462793,1,0.9773590466747859
613-000806-A-0131,3.0,1,1,0.6542392998867296,0,0.27849718205680674
